Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38310,How Buildings Learn: What Happens After They're Built,Stewart Brand,"Brand, Stewart",,"=""0140139966""","=""9780140139969""",5.0,Penguin Books,Paperback,256,1995,1994,2020/01/11,2017/02/10,,,read,"I've been pecking away at this book for about 4 years now. I think I've struggled to get started with it because it's a funny shaped book. It's landscape and in two columns, which sounds like a good idea, but means that it's hard to read without a table. Anyway, I had a good run up at it over the last 3 weeks so I gave it a red hot go, and was rewarded richly!<br/><br/>To a casual reader, it might come across as a catalogue of the ways that Steward Brand hates architects, but it's richer than a simple hatchet job. He cares deeply about the environment, in comprehensive way that feels unusual in today's reactive and noisy response to the climate crisis. He's a conservative—in the smallest c way possible—he's interested in conserving the world, and the best way to do that is focus on learning rather than revolution.<br/><br/>The book is interested in how buildings learn. This is a complex idea because learning happens through time, and also through time the thing that is being learned about changes too. The book describes the attributes of buildings that enable them to learn, and also the mechanisms that allow them to do it. It's some combination of inertia, motivation, and capability.<br/><br/>He describes three classes of building:<br/>* Low road buildings that don't have any societal heft to them, so nobody cares when the occupants modify them to fit their needs. The Actual building is modified whenever it's needed.<br/>* High road buildings are classy, weighty, often institutional. People care a lot about them, and are forced through that inertia to think carefully about making permanent changes. The small changes that happen often don't touch the fabric of the building.<br/>* Magazine architecture is what happens when there's a desire to make something fancy. That desire leads to something that photographs well, but isn't able to keep up with it's users as they change, if it was ever right for them! (He takes pains to point out that no building is ever actually right, and the ability to change is what makes buildings feel right.)<br/><br/>He's incredibly scathing of the whole process that allows magazine architecture to be built. As a grumpy person it was an odd feeling, someone else's words, expressing my feelings so closely. I anticipate quoting from it so much that [I copied that chapter out on my website](https://notionparallax.co.uk/2019/magazine_architecture)! He wrote this over 25 years ago, and I'm only just coming to the same conclusions on my own.<br/><br/>There are some bits that feel uncomfortable, mainly caused by things that the last decade and a half have brought up that would have been difficult to predict. But the book has ages remarkably well—perhaps unsurprisingly given the topic.<br/><br/>The rest of the book is good, but if you can only spare enough time to read the first four chapters, you'll still get a lot out of it!",,,1,0
18914498,Measurement,Paul  Lockhart,"Lockhart, Paul",,"=""0674071166""","=""9780674071162""",0,Harvard University Press,Kindle Edition,416,2012,2012,,2014/12/31,to-read,to-read (#201),to-read,,,,0,0
24856109,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",,"=""1784971545""","=""9781784971540""",4.0,Head of Zeus,Kindle Edition,400,2015,2006,2020/01/09,2020/01/09,,,read,,,,1,0
33949719,Testosterone Rex: Unmaking the Myths of Our Gendered Minds,Cordelia Fine,"Fine, Cordelia",,"=""1785781626""","=""9781785781629""",4.0,Icon Books,Kindle Edition,272,2017,2017,2020/01/07,2019/12/31,,,read,,,,1,0
42867903,Open Borders: The Science and Ethics of Immigration,Bryan Caplan,"Caplan, Bryan",Zach Weinersmith,"=""1250316960""","=""9781250316967""",4.0,First Second,Paperback,248,2019,2019,2020/01/02,2019/12/22,,,read,,,,1,0
2314378,"Tank Girl: One (Tank Girl, #1)",Alan C. Martin,"Martin, Alan C.",Jamie Hewlett,"=""1845767578""","=""9781845767570""",4.0,Titan Books,Paperback,128,2009,1990,2020/01/01,2019/12/21,,,read,,,,1,0
42975938,"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",4.0,Vintage Digital,Kindle Edition,432,2019,2019,2019/12/29,2019/09/09,,,read,,,,1,0
79766,"A Pattern Language: Towns, Buildings, Construction (Center for Environmental Structure Series)",Christopher W. Alexander,"Alexander, Christopher W.","Sara Ishikawa, Murray Silverstein, Max  Jacobson, Ingrid Fiksdahl-King, Shlomo Angel","=""0195019199""","=""9780195019193""",0,Oxford University Press,Hardcover,1171,1977,1977,,2019/12/26,to-read,to-read (#337),to-read,,,,0,0
18881506,The War in the Air,H.G. Wells,"Wells, H.G.",,"=""""","=""""",0,,Kindle Edition,280,2012,1908,2014/11/01,2014/12/31,,,read,,,,1,0
369873,A Hacker Manifesto,McKenzie Wark,"Wark, McKenzie",,"=""0674015436""","=""9780674015432""",0,Harvard University Press,Hardcover,208,2004,2004,,2019/12/24,to-read,to-read (#336),to-read,,,,0,0
