book_id,title,author_1_name,isbn,isbn13,rating,publisher,format,num_pages,publication_year,started_at,read_at,date_added,bookshelves,read_count,ficOrNonFic,SeriesOrStandalone,LGBTQIA_Characters
30659,Meditations,Marcus Aurelius,0140449337,9780140449334,5.0,Penguin Books,Paperback,254.0,180.0,2017-08-19,2017-10-29,2017-10-27,,1,NonFiction,Standalone,No
13163263,"Tempo: Timing, Tactics and Strategy in Narrative-Driven Decision-Making",Venkatesh G. Rao,,,4.0,,Kindle Edition,217.0,2011.0,2017-07-16,2017-10-23,2016-05-10,,1,NonFiction,Standalone,No
17934759,Codex Seraphinianus,Luigi Serafini,0847842134,9780847842131,4.0,Rizzoli,Hardcover,396.0,1981.0,,,2014-12-31,,1,Fiction,Standalone,No
20744863,The Cucumber Book: Behaviour-Driven Development for Testers and Developers (Pragmatic Programmers),Matt Wynne,193778598X,9781937785987,4.0,Pragmatic Bookshelf,Kindle Edition,336.0,2011.0,,2015-05-10,2014-12-31,,1,NonFiction,Standalone,No
24968626,"Crux (Nexus, #2)",Ramez Naam,1942948018,9781942948018,4.0,,Kindle Edition,464.0,2013.0,,2016-05-01,2016-06-01,,1,Fiction,Series,No
21449081,Crime and Punishment,Fyodor Dostoevsky,0141956968,9780141956961,5.0,Penguin,Kindle Edition,731.0,1866.0,,2017-07-18,2017-07-18,,1,Fiction,Standalone,No
34677510,"The Rise and Fall of D.O.D.O. (D.O.D.O., #1)",Neal Stephenson,,,5.0,The Borough Press,ebook,769.0,2017.0,,2017-07-18,2017-06-28,,1,Fiction,Series,No
8521856,The Secret History of the Mongol Queens: How the Daughters of Genghis Khan Rescued His Empire,Jack Weatherford,,,5.0,Crown,Kindle Edition,338.0,2010.0,2017-07-04,2017-07-12,2017-07-04,,1,NonFiction,Standalone,No
29511043,Ghost Fleet: A Novel of the Next World War,P.W. Singer,,,4.0,,Kindle Edition,447.0,2015.0,,2017-07-09,2017-07-09,,1,Fiction,Standalone,No
33132692,Tonic Water AKA G&T WTF,Camper English,,,5.0,Alcademics,Kindle Edition,85.0,,2017-06-24,2017-06-25,2017-06-24,,1,NonFiction,Standalone,No
30223880,Archangel #1,William Gibson,,,4.0,IDW,Kindle Edition,48.0,2016.0,,2017-06-18,2017-06-18,,1,Fiction,Series,No
